date,area,county/state,geoid,cases,country
21/01/2020,Snohomish,Washington,53061,1,United States
22/01/2020,Snohomish,Washington,53061,0,United States
23/01/2020,Snohomish,Washington,53061,0,United States
24/01/2020,Cook,Illinois,17031,1,United States
24/01/2020,Snohomish,Washington,53061,0,United States
25/01/2020,Snohomish,Washington,53061,0,United States
25/01/2020,Orange,California,6059,1,United States
25/01/2020,Cook,Illinois,17031,0,United States
26/01/2020,Maricopa,Arizona,4013,1,United States
26/01/2020,Cook,Illinois,17031,0,United States
26/01/2020,Los Angeles,California,6037,1,United States
26/01/2020,Snohomish,Washington,53061,0,United States
26/01/2020,Orange,California,6059,0,United States
27/01/2020,Los Angeles,California,6037,0,United States
27/01/2020,Orange,California,6059,0,United States
27/01/2020,Snohomish,Washington,53061,0,United States
27/01/2020,Maricopa,Arizona,4013,0,United States
27/01/2020,Cook,Illinois,17031,0,United States
28/01/2020,Cook,Illinois,17031,0,United States
28/01/2020,Orange,California,6059,0,United States
28/01/2020,Los Angeles,California,6037,0,United States
28/01/2020,Maricopa,Arizona,4013,0,United States
28/01/2020,Snohomish,Washington,53061,0,United States
29/01/2020,Los Angeles,California,6037,0,United States
29/01/2020,Snohomish,Washington,53061,0,United States
29/01/2020,Maricopa,Arizona,4013,0,United States
29/01/2020,Cook,Illinois,17031,0,United States
29/01/2020,Orange,California,6059,0,United States
30/01/2020,Maricopa,Arizona,4013,0,United States
30/01/2020,Snohomish,Washington,53061,0,United States
30/01/2020,Cook,Illinois,17031,1,United States
30/01/2020,Orange,California,6059,0,United States
30/01/2020,Los Angeles,California,6037,0,United States
31/01/2020,Orange,California,6059,0,United States
31/01/2020,Santa Clara,California,6085,1,United States
31/01/2020,Snohomish,Washington,53061,0,United States
31/01/2020,Cook,Illinois,17031,0,United States
31/01/2020,Maricopa,Arizona,4013,0,United States
31/01/2020,Los Angeles,California,6037,0,United States
01/02/2020,Snohomish,Washington,53061,0,United States
01/02/2020,Cook,Illinois,17031,0,United States
01/02/2020,Suffolk,Massachusetts,25025,1,United States
01/02/2020,Maricopa,Arizona,4013,0,United States
01/02/2020,Los Angeles,California,6037,0,United States
01/02/2020,Orange,California,6059,0,United States
01/02/2020,Santa Clara,California,6085,0,United States
02/02/2020,Santa Clara,California,6085,1,United States
02/02/2020,Los Angeles,California,6037,0,United States
02/02/2020,Maricopa,Arizona,4013,0,United States
02/02/2020,Suffolk,Massachusetts,25025,0,United States
02/02/2020,Snohomish,Washington,53061,0,United States
02/02/2020,San Francisco,California,6075,2,United States
02/02/2020,Cook,Illinois,17031,0,United States
02/02/2020,Orange,California,6059,0,United States
03/02/2020,Santa Clara,California,6085,0,United States
03/02/2020,Cook,Illinois,17031,0,United States
03/02/2020,Los Angeles,California,6037,0,United States
03/02/2020,Suffolk,Massachusetts,25025,0,United States
03/02/2020,Maricopa,Arizona,4013,0,United States
03/02/2020,Snohomish,Washington,53061,0,United States
03/02/2020,Orange,California,6059,0,United States
03/02/2020,San Francisco,California,6075,0,United States
04/02/2020,San Francisco,California,6075,0,United States
04/02/2020,Suffolk,Massachusetts,25025,0,United States
04/02/2020,Cook,Illinois,17031,0,United States
04/02/2020,Maricopa,Arizona,4013,0,United States
04/02/2020,Los Angeles,California,6037,0,United States
04/02/2020,Snohomish,Washington,53061,0,United States
04/02/2020,Santa Clara,California,6085,0,United States
04/02/2020,Orange,California,6059,0,United States
05/02/2020,Snohomish,Washington,53061,0,United States
05/02/2020,Suffolk,Massachusetts,25025,0,United States
05/02/2020,Cook,Illinois,17031,0,United States
05/02/2020,Santa Clara,California,6085,0,United States
05/02/2020,Los Angeles,California,6037,0,United States
05/02/2020,Orange,California,6059,0,United States
05/02/2020,Dane,Wisconsin,55025,1,United States
05/02/2020,Maricopa,Arizona,4013,0,United States
05/02/2020,San Francisco,California,6075,0,United States
06/02/2020,Suffolk,Massachusetts,25025,0,United States
06/02/2020,Los Angeles,California,6037,0,United States
06/02/2020,Maricopa,Arizona,4013,0,United States
06/02/2020,Snohomish,Washington,53061,0,United States
06/02/2020,Santa Clara,California,6085,0,United States
06/02/2020,Cook,Illinois,17031,0,United States
06/02/2020,Dane,Wisconsin,55025,0,United States
06/02/2020,Orange,California,6059,0,United States
06/02/2020,San Francisco,California,6075,0,United States
07/02/2020,San Francisco,California,6075,0,United States
07/02/2020,Santa Clara,California,6085,0,United States
07/02/2020,Suffolk,Massachusetts,25025,0,United States
07/02/2020,Maricopa,Arizona,4013,0,United States
07/02/2020,Cook,Illinois,17031,0,United States
07/02/2020,Snohomish,Washington,53061,0,United States
07/02/2020,Dane,Wisconsin,55025,0,United States
07/02/2020,Orange,California,6059,0,United States
07/02/2020,Los Angeles,California,6037,0,United States
08/02/2020,Orange,California,6059,0,United States
08/02/2020,Los Angeles,California,6037,0,United States
08/02/2020,Dane,Wisconsin,55025,0,United States
08/02/2020,Snohomish,Washington,53061,0,United States
08/02/2020,Santa Clara,California,6085,0,United States
08/02/2020,San Francisco,California,6075,0,United States
08/02/2020,Suffolk,Massachusetts,25025,0,United States
08/02/2020,Maricopa,Arizona,4013,0,United States
08/02/2020,Cook,Illinois,17031,0,United States
09/02/2020,Dane,Wisconsin,55025,0,United States
09/02/2020,San Francisco,California,6075,0,United States
09/02/2020,Orange,California,6059,0,United States
09/02/2020,Cook,Illinois,17031,0,United States
09/02/2020,Snohomish,Washington,53061,0,United States
09/02/2020,Maricopa,Arizona,4013,0,United States
09/02/2020,Suffolk,Massachusetts,25025,0,United States
09/02/2020,Santa Clara,California,6085,0,United States
09/02/2020,Los Angeles,California,6037,0,United States
10/02/2020,San Diego,California,6073,1,United States
10/02/2020,Dane,Wisconsin,55025,0,United States
10/02/2020,Snohomish,Washington,53061,0,United States
10/02/2020,Suffolk,Massachusetts,25025,0,United States
10/02/2020,Cook,Illinois,17031,0,United States
10/02/2020,Maricopa,Arizona,4013,0,United States
10/02/2020,Santa Clara,California,6085,0,United States
10/02/2020,Orange,California,6059,0,United States
10/02/2020,Los Angeles,California,6037,0,United States
10/02/2020,San Francisco,California,6075,0,United States
11/02/2020,Los Angeles,California,6037,0,United States
11/02/2020,San Francisco,California,6075,0,United States
11/02/2020,Dane,Wisconsin,55025,0,United States
11/02/2020,Orange,California,6059,0,United States
11/02/2020,San Diego,California,6073,0,United States
11/02/2020,Maricopa,Arizona,4013,0,United States
11/02/2020,Cook,Illinois,17031,0,United States
11/02/2020,Santa Clara,California,6085,0,United States
11/02/2020,Suffolk,Massachusetts,25025,0,United States
11/02/2020,Snohomish,Washington,53061,0,United States
12/02/2020,Snohomish,Washington,53061,0,United States
12/02/2020,Dane,Wisconsin,55025,0,United States
12/02/2020,Cook,Illinois,17031,0,United States
12/02/2020,Santa Clara,California,6085,0,United States
12/02/2020,San Francisco,California,6075,0,United States
12/02/2020,San Diego,California,6073,0,United States
12/02/2020,Suffolk,Massachusetts,25025,0,United States
12/02/2020,Maricopa,Arizona,4013,0,United States
12/02/2020,Orange,California,6059,0,United States
12/02/2020,Bexar,Texas,48029,1,United States
12/02/2020,Los Angeles,California,6037,0,United States
13/02/2020,Orange,California,6059,0,United States
13/02/2020,Los Angeles,California,6037,0,United States
13/02/2020,Snohomish,Washington,53061,0,United States
13/02/2020,Dane,Wisconsin,55025,0,United States
13/02/2020,San Diego,California,6073,0,United States
13/02/2020,San Francisco,California,6075,0,United States
13/02/2020,Suffolk,Massachusetts,25025,0,United States
13/02/2020,Cook,Illinois,17031,0,United States
13/02/2020,Maricopa,Arizona,4013,0,United States
13/02/2020,Bexar,Texas,48029,1,United States
13/02/2020,Santa Clara,California,6085,0,United States
14/02/2020,Suffolk,Massachusetts,25025,0,United States
14/02/2020,Los Angeles,California,6037,0,United States
14/02/2020,Maricopa,Arizona,4013,0,United States
14/02/2020,Bexar,Texas,48029,0,United States
14/02/2020,Cook,Illinois,17031,0,United States
14/02/2020,San Francisco,California,6075,0,United States
14/02/2020,San Diego,California,6073,0,United States
14/02/2020,Orange,California,6059,0,United States
14/02/2020,Santa Clara,California,6085,0,United States
14/02/2020,Snohomish,Washington,53061,0,United States
14/02/2020,Dane,Wisconsin,55025,0,United States
15/02/2020,Snohomish,Washington,53061,0,United States
15/02/2020,Bexar,Texas,48029,0,United States
15/02/2020,Dane,Wisconsin,55025,0,United States
15/02/2020,San Francisco,California,6075,0,United States
15/02/2020,Santa Clara,California,6085,0,United States
15/02/2020,Cook,Illinois,17031,0,United States
15/02/2020,Suffolk,Massachusetts,25025,0,United States
